time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-10-04T06:01:38.559Z,31.613,-103.978,7.0571,2.7,ml(texnet),15,56,0,0.1,tx,tx2023tksu,2023-10-04T12:44:05.165Z,"37 km WSW of Mentone, Texas",earthquake,0.5991066662,1.046916478,0.1,33,reviewed,tx,tx
2023-10-04T05:29:20.494Z,31.615,-103.981,8.5224,3.1,ml(texnet),66,41,0,0.2,tx,tx2023tkrs,2023-10-04T15:01:21.297Z,"37 km WSW of Mentone, Texas",earthquake,0.4797240687,0.5396509377,0.2,37,reviewed,tx,tx
2023-10-04T04:09:09.870Z,31.616,-103.977,6.3886,2.5,ml(texnet),20,63,0,0.1,tx,tx2023tkpb,2023-10-04T19:45:49.854Z,"37 km WSW of Mentone, Texas",earthquake,0.4944937423,0.6682101462,0.1,6,reviewed,tx,tx
2023-10-01T09:36:23.525Z,31.656,-104.413,6.0802,2.5,ml(texnet),15,62,0,0.1,tx,tx2023tfnj,2023-10-16T18:59:50.558Z,"57 km S of Whites City, New Mexico",earthquake,0.9030541489,0.7937594849,0.1,23,reviewed,tx,tx
2023-09-29T20:14:40.882Z,31.519,-104.007,6.9028,2.5,ml(texnet),15,63,0,0.1,tx,tx2023tcrj,2023-09-29T21:28:10.742Z,"30 km NW of Toyah, Texas",earthquake,1.051781099,0.8702480795,0.1,7,reviewed,tx,tx
2023-09-29T00:09:52.101Z,31.653,-104.45,6.6971,2.8,ml(texnet),21,72,0,0.2,tx,tx2023tbdq,2023-10-19T18:49:51.536Z,"58 km S of Whites City, New Mexico",earthquake,1.306123671,0.6950173415,0,6,reviewed,tx,tx
2023-09-28T15:55:43.483Z,31.603,-104.564,6.4658,2.7,ml(texnet),23,77,0.1,0.2,tx,tx2023tanj,2023-09-29T14:31:43.217Z,"",earthquake,1.984926892,1.776621523,0.1,7,reviewed,tx,tx
2023-09-28T11:13:23.580Z,31.611,-104.541,5.7459,2.6,ml(texnet),20,75,0.1,0.2,tx,tx2023taec,2023-09-28T16:59:33.824Z,"64 km SSW of Whites City, New Mexico",earthquake,1.975792663,1.785301842,0.1,7,reviewed,tx,tx
2023-09-28T09:26:54.354Z,31.751,-104.183,6.3244,3.2,ml(texnet),36,57,0,0.1,tx,tx2023taap,2023-09-29T18:53:36.186Z,"50 km SSE of Whites City, New Mexico",earthquake,0.4224763812,0.6147673794,0.3,27,reviewed,tx,tx
2023-09-27T19:39:34.492Z,31.601,-104.55,5.5403,2.5,ml(texnet),27,75,0.1,0.2,tx,tx2023syzg,2023-09-28T11:16:53.529Z,"65 km SSW of Whites City, New Mexico",earthquake,1.715207165,1.405031439,0.1,19,reviewed,tx,tx
2023-09-26T19:10:51.971Z,31.706,-104.165,6.4915,2.6,ml(texnet),19,52,0.1,0.1,tx,tx2023sxcu,2023-09-27T12:07:32.366Z,"53 km W of Mentone, Texas",earthquake,0.8191983737,1.137363396,0.1,7,reviewed,tx,tx
2023-09-25T04:09:13.835Z,31.719,-103.998,6.3372,2.6,ml(texnet),21,45,0,0.1,tx,tx2023sudn,2023-09-25T15:03:41.392Z,"37 km W of Mentone, Texas",earthquake,0.7545132382,0.8756983871,0,7,reviewed,tx,tx
2023-09-25T03:18:10.059Z,32.403,-102.021,9.7085,3.3,ml(texnet),17,53,0.1,0.1,tx,tx2023subv,2023-09-26T01:00:36.040Z,"31 km WSW of Ackerly, Texas",earthquake,0.8518771206,2.100788212,0.1,7,reviewed,tx,tx
2023-09-24T07:13:14.839Z,31.626,-104.516,5.0261,3.2,ml(texnet),29,148,0,0.3,tx,tx2023ssod,2023-10-19T11:47:38.040Z,"62 km SSW of Whites City, New Mexico",earthquake,1.9481208,1.407665056,0.2,19,reviewed,tx,tx
2023-09-24T07:11:42.633Z,31.678,-104.52,5.4889,2.7,ml(texnet),29,146,0,0.3,tx,tx2023ssob,2023-10-19T11:35:20.040Z,"",earthquake,1.063387978,0.5545541541,0.2,19,reviewed,tx,tx
2023-09-23T16:36:41.177Z,31.498,-103.581,4.8205,2.7,ml(texnet),20,71,0.1,0.3,tx,tx2023srle,2023-09-25T04:25:41.347Z,"western Texas",earthquake,1.197062793,1.247607921,0.3,12,reviewed,tx,tx
2023-09-23T14:09:21.319Z,31.641,-104.177,6.5686,2.6,ml(texnet),17,59,0.1,0.2,tx,tx2023srgi,2023-09-25T11:58:11.397Z,"51 km NW of Toyah, Texas",earthquake,0.8686963874,1.261027452,0.1,33,reviewed,tx,tx
